text,label
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
"Flat Earth confirmed by leaked NASA report, claims social media post.",0
"Aliens have signed a peace treaty with the UN, claims anonymous source.",0
Chocolate proven to reverse aging according to a secret government lab.,0
"COVID vaccine turns people magnetic, internet conspiracy claims.",0
"Teleportation discovered in ancient pyramid tunnels, says viral video.",0
